Data. Index (generated),Date,Dev By,Document Index (generated),Sever By,Source,Update Date,Confirmed,Deaths,Hospitalized,New Confirmed,New Deaths,New Hospitalized,New Recovered,Number of Records per timeline.json,Recovered
156,6/4/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3101,58,75,17,0,17,0,1,2968
157,6/5/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3102,58,73,1,0,-2,3,1,2971
158,6/6/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3104,58,75,2,0,2,0,1,2971
159,6/7/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3112,58,82,8,0,7,1,1,2972
160,6/8/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3119,58,88,7,0,6,1,1,2973
161,6/9/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3121,58,90,2,0,2,0,1,2973
162,6/10/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3125,58,86,4,0,-4,8,1,2981
163,6/11/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3125,58,80,0,0,-6,6,1,2987
164,6/12/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3129,58,84,4,0,4,0,1,2987
165,6/13/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3134,58,89,5,0,5,0,1,2987
166,6/14/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3135,58,90,1,0,1,0,1,2987
167,6/15/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3135,58,90,0,0,0,0,1,2987
168,6/16/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3135,58,84,0,0,-6,6,1,2993
169,6/17/20,https://www.kidkarnmai.com/,1,https://smilehost.asia/,https://covid19.th-stat.com/,16/05/2021 11:50,3135,58,81,0,0,-3,3,1,2996
